商品ID,是否上架,日期,是否企业店铺,店铺名称,店铺等级,掌柜ID,资质押金,描述,服务,物流,价格1,价格2,价格3,价格4,价格,优惠券,是否免邮,尺码,库存,支付,是否公益,收藏宝贝,详情照片数,视频有无,累计评论,商品信息字数,销售量和成功交易量,评论有图,追评,好评,中评,差评,评价印象标签及数量
1,2019/10/5,0.0,超会购Super/Mall,2金冠,蘑菇街的衣衣,1000000元,4.7,4.8,4.8,47.87,49.98,44.87,35.87,9.87-13.87,淘金币可抵0.19元//10元店铺优惠券/满188元可用/领取//5元店铺优惠券/满88元可用/领取,1.0,均码,793506.0,蚂蚁花呗/信用卡支付/集分宝,1.0,107.0,102.0,0.0,12148.0,212.0,30天内已售出9.5万+件，其中交易成功5.5万+件,4727.0,187.0,12139.0,2.0,7.0,质量蛮好/(3166)/衣服很舒服/(3114)/穿着效果好/(850)/版型漂亮/(846)/颜色挺正/(633)/布料好/(546)/手感很好/(210)/大小合适/(179)/做工很赞/(118)/很薄/(69),
1,2019/10/5,0.0,高端羊绒工厂直销店,3蓝冠,三羊坊,2000元,4.8,4.8,4.8,69.00,59.00,46.00,56.00,29.00,淘金币可抵0.58元//10元店铺优惠券/满120元可用/领取//5元店铺优惠券/满50元可用/领取,1.0,S/M/L/XL/2XL/S号/5分钟内下单29元/M号/赠送运费险/L号/免费试穿/XL号/不起球/不掉毛/2XL号/抢完恢复原价299元,98724.0,蚂蚁花呗/信用卡支付/集分宝,0.0,32217.0,23.0,1.0,9244.0,340.0,30天内已售出5万+件，其中交易成功3万+件,692.0,554.0,9239.0,3.0,2.0,很舒适/(736)/质量好/(503)/颜色很美/(189)/摸着还行/(137)/穿着漂亮/(124)/料子不错/(101)/外形好看/(93)/码数很准/(73)/做工不错/(44)/颜色不喜欢/(31),
1,2019/10/5,1.0,高端羊绒清仓一天,2蓝冠,龙马毛衫,2019元,4.8,4.8,4.8,95.00,98.00,49.00,0,36.00,淘金币可抵1.80元,1.0,S/M/L/XL/2XL,313127.0,蚂蚁花呗/信用卡支付/集分宝,1.0,37606.0,20.0,1.0,19758.0,200.0,30天内已售出2.5万+件，其中交易成功2万+件,756.0,117.0,19734.0,11.0,13.0,衣服很舒服/(931)/质量蛮好/(848)/颜色挺正/(377)/穿着效果好/(273)/尺寸很准/(266)/版型好/(187)/布料好/(141)/做工很赞/(111)/颜色不喜欢/(53)/料子不好/(34),
1,2019/10/5,0.0,高端羊绒清仓活动一天,5蓝冠,鹿晗羊绒,2000元,4.8,4.8,4.8,68.00,68.00,98.00,68.00,38.00,淘金币可抵0.76元,1.0,S/M/L/XL/2XL/S号/5分钟内下单送羊绒围巾/M号/免费试穿/L号/赠送运费险/XL号/不起球/不掉毛/2XL/号/抢完恢复原价299元,569437.0,蚂蚁花呗/集分宝,0.0,80249.0,39.0,1.0,59385.0,428.0,30天内已售出2.5万+件，其中交易成功2万+件,3457.0,3977.0,59362.0,16.0,7.0,衣衣很舒服/(3087)/质量好/(2947)/色彩很好/(1043)/版式好/(816)/穿上好看/(601)/料子好/(499)/尺码很准/(440)/做工好/(227)/颜色不喜欢/(123)/料子一般/(81),
1,2019/10/5,1.0,鄂尔多斯市羊绒直销厂家,3蓝冠,鄂尔多斯羊绒衫直销2,2000元,4.8,4.8,4.8,229.00,269.00,229.00,0,269.00,0,1.0,S/M/L/XL/2XL,1314150.0,蚂蚁花呗/信用卡支付/集分宝,0.0,36142.0,10.0,0.0,37550.0,183.0,30天内已售出1.5万+件，其中交易成功1.5万+件,2162.0,385.0,37493.0,23.0,35.0,质量好/(2554)/很舒适/(2060)/穿着漂亮/(1035)/版型好看/(625)/手感不错/(568)/料子不错/(411)/衣服很合身/(374)/做工不错/(181)/面料一般/(128)/颜色不喜欢/(117),
1,2019/10/5,0.0,贵妇女王,5蓝冠,羊毛衫的门市,3100元,4.8,4.8,4.8,29.90,48.80,29.90,39.90,19.98,淘金币可抵0.39元//10元店铺优惠券/满99元可用/领取//10元店铺优惠券/满100元可用/领取,1.0,S/M/L/XL/2XL,178168.0,蚂蚁花呗/信用卡支付/集分宝,0.0,28223.0,70.0,0.0,13467.0,260.0,30天内已售出2万+件，其中交易成功1.5万+件,2243.0,247.0,13450.0,14.0,3.0,衣服很舒服/(1424)/质量蛮好/(1415)/穿着效果好/(383)/码子很准/(348)/颜色挺正/(338)/板型很好/(329)/手感很好/(249)/布料好/(229)/做工很赞/(69)/尺寸有偏差/(39),
1,2019/10/5,0.0,九牧世家时尚坊,1金冠,九牧世家时尚坊,2000元,4.8,4.8,4.8,28.00,39.00,49.00,27.90,29.00-36.00,淘金币可抵0.58元//5元店铺优惠券/满98元可用/领取//3元店铺优惠券/满58元可用/领取,1.0,S/M/L/XL/XXL码126-135斤穿/3XL码136-150斤穿/4XL码151-160斤穿/5XL码161-175斤穿/6XL码170-185斤穿,115926.0,蚂蚁花呗/信用卡支付/集分宝,0.0,189.0,29.0,1.0,69375.0,371.0,30天内已售出2万+件，其中交易成功1.5万+件,1977.0,567.0,69273.0,55.0,47.0,质量蛮好/(2050)/颜色挺正/(864)/衣服很舒服/(858)/穿着效果好/(603)/衣服很合身/(453)/版型好看/(449)/布料好/(403)/做工很赞/(257)/尺寸有偏差/(67)/质量不行/(44),
1,2019/10/5,0.0,骨朵家女装,2金冠,冷冷冷冷的咖啡,2200元,4.7,4.8,4.8,59.00,69.00,59.00,55.00,39.00,淘金币可抵0.78元,1.0,均码,274775.0,蚂蚁花呗/信用卡支付/集分宝,1.0,56270.0,39.0,1.0,4137.0,203.0,30天内已售出2万+件，其中交易成功1万+件,529.0,80.0,4134.0,2.0,1.0,衣服很舒服/(827)/衣服不错/(465)/颜色挺正/(213)/穿着效果好/(174)/版型漂亮/(131)/布料好/(87)/没有色差/(66)/大小合适/(63)/舒适百搭/(51)/做工很赞/(15),
1,2019/10/5,0.0,下架学姐XJXJ,5蓝冠,可可家cocoga,1000000元,4.8,4.8,4.8,49.98,41.98,39.98,39.98,23.98,淘金币可抵0.47元,1.0,均码,584385.0,蚂蚁花呗/信用卡支付/集分宝,0.0,20789.0,39.0,0.0,3758.0,213.0,30天内已售出1万+件，其中交易成功1万+件,1478.0,95.0,3757.0,1.0,0.0,整体不错/(1109)/衣服很舒服/(901)/版式好/(396)/颜色挺正/(275)/穿着效果好/(262)/布料好/(167)/没有色差/(108)/很厚实/(90)/尺码很准/(49)/做工很赞/(24),
1,2019/10/5,0.0,伟伟时尚服饰1029,2蓝冠,伟伟时尚服饰1029,1001元,4.6,4.7,4.7,49.90,39.90,49.90,39.90,39.90,淘金币可抵0.79元,1.0,S/M/L/XL/2XL/3XL,285952.0,蚂蚁花呗/信用卡支付/集分宝,0.0,88037.0,21.0,0.0,11277.0,228.0,30天内已售出1万+件，其中交易成功9500+件,563.0,92.0,11238.0,17.0,22.0,衣衣很舒服/(400)/宝贝很赞/(373)/穿上好看/(135)/色彩很好/(126)/版型漂亮/(126)/大小合适/(73)/料子好/(67)/手感不错/(56)/没有色差/(47)/做工好/(26),
1,2019/10/5,0.0,下架学姐XJXJ,5蓝冠,可可家cocoga,1000000元,4.8,4.8,4.8,41.98,39.98,31.98,29.98,15.98,淘金币可抵0.31元,1.0,均码,875679.0,蚂蚁花呗/信用卡支付/集分宝,0.0,21409.0,96.0,0.0,3779.0,185.0,30天内已售出2万+件，其中交易成功1万+件,1299.0,65.0,3777.0,1.0,1.0,很舒适/(843)/宝贝很赞/(807)/穿着漂亮/(230)/板型很好/(218)/颜色很美/(207)/料子不错/(108)/没有色差/(84)/码子很准/(62)/手感不错/(57)/做工不错/(30),
1,2019/10/5,0.0,刘德华翔店,2蓝冠,刘德华翔店,3600元,4.7,4.7,4.7,108.00,102.00,95.00,62.90,39.80,淘金币可抵0.79元,1.0,S优质款建议80-95斤/M优质款建议95-110斤/L优质款建议110-120斤/XL建议120-130斤/2XL优质款建议130-140斤/3XL优质款建议140-155斤,48469.0,蚂蚁花呗/信用卡支付/集分宝,0.0,77963.0,12.0,0.0,6216.0,248.0,30天内已售出1万+件，其中交易成功9000+件,523.0,57.0,6202.0,11.0,3.0,宝贝很赞/(438)/衣衣很舒服/(423)/式样好/(210)/穿上好看/(106)/料子好/(87)/尺码很好/(55)/厚实/(46)/色彩很好/(34)/手感也不错/(33)/做工好/(19),
1,2019/10/5,0.0,高端依依貂绒衫店铺,4蓝冠,涛涛888886,2002元,4.8,4.8,4.8,99.00,49.90,49.00,35.00,31.90,淘金币可抵0.63元,1.0,S/M/L/XL/2XL,23226.0,蚂蚁花呗/信用卡支付/集分宝,1.0,23719.0,22.0,1.0,16615.0,199.0,30天内已售出1万+件，其中交易成功8500+件,1060.0,393.0,16611.0,3.0,1.0,整体不错/(1319)/衣服很舒服/(1145)/颜色挺正/(422)/版型漂亮/(310)/穿着效果好/(301)/大小合适/(281)/布料好/(212)/做工很赞/(96)/颜色一般/(55)/尺寸有偏差/(41),
1,2019/10/5,0.0,喵喵家网店,1金冠,四季妈妈装衣纺,3000元,4.7,4.8,4.8,29.90,29.90,42.00,48.80,29.30,淘金币可抵0.58元//10元店铺优惠券/满99元可用/领取//10元店铺优惠券/满99元可用/领取,1.0,S/M/L/XL/2XL,130354.0,蚂蚁花呗/信用卡支付/集分宝,0.0,47160.0,19.0,0.0,8358.0,220.0,30天内已售出1万+件，其中交易成功8500+件,1756.0,170.0,8316.0,25.0,17.0,质量蛮好/(1202)/衣服很舒服/(1200)/外形好看/(551)/穿着效果好/(391)/颜色挺正/(293)/码数很准/(238)/款式很潮/(237)/布料好/(209)/手感挺好的/(184)/做工很赞/(74),
1,2019/10/5,1.0,艾艳娇品牌店,2蓝冠,羊绒精品女装店,1000元,4.8,4.9,4.8,178.00,169.00,159.00,0,149.00,淘金币可抵2.98元,1.0,S/M/L/XL/2XL,481432.0,蚂蚁花呗/信用卡支付/集分宝,0.0,7017.0,61.0,1.0,20778.0,200.0,30天内已售出1万+件，其中交易成功9000+件,419.0,53.0,20738.0,23.0,17.0,衣衣很舒服/(860)/质量好/(657)/色彩很好/(210)/穿上好看/(194)/料子好/(138)/码数很准/(132)/外形好看/(130)/没有色差/(58)/做工好/(52)/料子一般/(42),
1,2019/10/5,0.0,张贝贝ibell,2金冠,张贝贝ibell,1338元,4.8,4.8,4.8,339.00,299.00,299.00,279.00,259.00,淘金币可抵5.18元,1.0,S/M/L,43200.0,蚂蚁花呗/信用卡支付/集分宝,0.0,103.0,76.0,1.0,81.0,227.0,30天内已售出1.5万+件，其中交易成功8000+件,18.0,4.0,81.0,0.0,0.0,0,
1,2019/10/5,1.0,黑牛奶少女/HEI/STUDIO,4金冠,郑明忠2008,999881.2元,4.7,4.8,4.8,63.98,55.98,54.98,0,27.70,20元店铺优惠券/满448元可用/领取//10元店铺优惠券/满228元可用/领取,1.0,均码,264499.0,蚂蚁花呗/信用卡支付/集分宝,1.0,29419.0,54.0,1.0,4176.0,212.0,30天内已售出1万+件，其中交易成功9000+件,469.0,29.0,4171.0,4.0,1.0,很舒适/(764)/宝贝很赞/(389)/便宜/(191)/版式好/(171)/穿着漂亮/(132)/颜色很美/(120)/料子不错/(107)/很百搭/(55)/尺码很准/(45)/性价比高/(38),
1,2019/10/5,0.0,下架学姐XJXJ,5蓝冠,可可家cocoga,1000000元,4.8,4.8,4.8,49.98,46.98,42.98,39.98,29.98,淘金币可抵0.59元,1.0,均码,186033.0,蚂蚁花呗/信用卡支付/集分宝,0.0,38893.0,59.0,0.0,7188.0,172.0,30天内已售出9000+件，其中交易成功7000+件,732.0,67.0,7175.0,8.0,5.0,版型好/(494)/整体不错/(341)/很舒服/(295)/穿着美/(279)/颜色很好/(124)/没有色差/(75)/面料好/(63)/尺寸很准/(27)/做工很好/(12)/做工差/(30),
1,2019/10/5,0.0,Dreamyshow梦梦家女装,5金冠,hym134225,59989元,4.7,4.7,4.7,117.58,95.35,96.18,98.36,57.68,100元店铺优惠券/满998元可用/领取//50元店铺优惠券/满559元可用/领取//满3件/享部分地区包邮,1.0,均码,69163.0,蚂蚁花呗/信用卡支付/集分宝,0.0,92194.0,93.0,1.0,11548.0,188.0,30天内已售出8000+件，其中交易成功6500+件,457.0,92.0,11475.0,29.0,44.0,质量不错/(597)/衣衣很舒服/(389)/版型漂亮/(284)/穿上好看/(238)/色彩很好/(121)/没有色差/(81)/款式很好/(65)/料子好/(62)/大小合适/(53)/做工好/(16),
1,2019/10/5,0.0,小魔女国度momo,3金冠,qq765495270,16888元,4.6,4.7,4.7,86.98,61.98,58.98,47.98,39.98,淘金币可抵0.79元//10元店铺优惠券/满298元可用/领取//5元店铺优惠券/满168元可用/领取,1.0,S/M/L,174864.0,蚂蚁花呗/信用卡支付/集分宝,1.0,85445.0,53.0,1.0,5697.0,197.0,30天内已售出1万+件，其中交易成功8000+件,467.0,23.0,5694.0,0.0,3.0,衣服很舒服/(443)/整体不错/(213)/板型很好/(108)/实惠/(89)/穿着效果好/(84)/布料好/(76)/颜色挺正/(69)/做打底百搭/(40)/手感不错/(31)/码子很准/(30),
1,2019/10/5,1.0,爆款清仓厂家直销,2蓝冠,梦物不凡,5000元,4.6,4.7,4.7,298.00,269.90,264.90,0,264.90,0,1.0,S/M/L/XL/2XL/3XL,256994.0,蚂蚁花呗/信用卡支付/集分宝,0.0,922.0,26.0,1.0,63.0,275.0,30天内已售出9500+件，其中交易成功8500+件,4.0,2.0,63.0,0.0,0.0,质量不错/(19)/很舒适/(13)/物流快/(7)/很划算/(4)/穿着漂亮/(4)/做工不错/(3)/与描述相符/(3),
1,2019/10/5,0.0,MG小象欧美街拍时尚女装,5金冠,毛菇小象,5000元,4.7,4.8,4.8,149.00,139.00,118.00,108.00,49.00,30元店铺优惠券/满358元可用/领取//20元店铺优惠券/满258元可用/领取//满3件/享部分地区包邮,1.0,XS/S/M/L/XL,86671.0,蚂蚁花呗/信用卡支付/集分宝,0.0,28270.0,51.0,1.0,1798.0,175.0,30天内已售出1万+件，其中交易成功7000+件,338.0,37.0,1768.0,14.0,16.0,式样好/(200)/很舒服/(193)/穿着美/(181)/整体不错/(177)/颜色很好/(80)/实惠/(63)/款式漂亮/(41)/面料好/(37)/尺码很好/(22)/很薄/(143),
1,2019/10/5,1.0,鄂尔多斯高端羊绒正品店,1蓝冠,二米三声,1000元,4.8,4.8,4.8,798.00,1199.00,798.00,0,239.00,淘金币可抵4.78元,1.0,S/M/L/XL/2XL,5318141.0,蚂蚁花呗/集分宝,0.0,2058.0,29.0,0.0,1728.0,169.0,30天内已售出1万+件，其中交易成功7500+件,104.0,16.0,1696.0,18.0,14.0,衣服很舒服/(224)/质量蛮好/(170)/颜色挺正/(58)/穿着效果好/(43)/版式好/(33)/布料好/(29)/尺码很准/(26)/做工很赞/(13)/尺寸有偏差/(21)/颜色不喜欢/(14),
1,2019/10/5,1.0,ChaoBangBang朝帮帮/潮帮帮/CBB,3金冠,风中醉迹,100000元,4.7,4.7,4.7,58.98,49.98,49.98,0,25.88,淘金币可抵0.51元//50元店铺优惠券/满999元可用/领取//20元店铺优惠券/满499元可用/领取,1.0,均码,528782.0,蚂蚁花呗/信用卡支付/集分宝,0.0,37272.0,55.0,1.0,1897.0,194.0,30天内已售出1.5万+件，其中交易成功8000+件,89.0,10.0,1895.0,2.0,0.0,很舒适/(276)/质量好/(192)/划算/(89)/版型漂亮/(63)/穿着漂亮/(58)/料子不错/(35)/颜色很美/(25)/很百搭/(25)/挺厚实的/(17)/物流快/(9),
1,2019/10/5,0.0,羊毛家,3金冠,vipwangting,10000元,4.8,4.8,4.8,169.00,99.00,89.00,89.00,49.00,淘金币可抵0.98元,1.0,均码,12352.0,蚂蚁花呗/信用卡支付/集分宝,0.0,54549.0,42.0,1.0,7391.0,222.0,30天内已售出7500+件，其中交易成功5500+件,834.0,90.0,7377.0,12.0,2.0,很舒适/(1057)/质量好/(847)/版型好/(511)/颜色很美/(311)/穿着漂亮/(284)/料子不错/(211)/没有色差/(145)/尺寸很准/(48)/做工不错/(15)/有色差/(35),
1,2019/10/5,0.0,MIXDEMIND觅定,3金冠,chengzw2008,10000元,4.7,4.8,4.8,169.99,129.99,0,129.99,79.99,0,1.0,均码,43755.0,蚂蚁花呗/信用卡支付/集分宝,0.0,67568.0,15.0,1.0,2540.0,181.0,30天内已售出8500+件，其中交易成功6000+件,233.0,26.0,2538.0,1.0,1.0,式样好/(188)/很舒适/(181)/宝贝很赞/(138)/穿着漂亮/(101)/颜色很美/(48)/款式好看/(38)/没有色差/(34)/很便宜/(24)/料子不错/(23)/与描述相符/(21),
1,2019/10/5,0.0,专柜正品女装08,3蓝冠,金牌卖家xxx,2080元,4.7,4.7,4.7,39.90,39.90,49.90,29.90,29.31,淘金币可抵0.58元//10元店铺优惠券/满99元可用/领取//5元店铺优惠券/满50元可用/领取,1.0,S建议/80-95斤/M/建议95-105斤/L/建议105-115斤/XL/建议115-125斤/2XL/建议125-140斤,175.0,蚂蚁花呗/信用卡支付/集分宝,1.0,24542.0,80.0,1.0,5149.0,267.0,30天内已售出7500+件，其中交易成功5500+件,253.0,38.0,5139.0,8.0,2.0,很舒适/(237)/质量不错/(230)/划算/(97)/穿着漂亮/(96)/版型漂亮/(85)/颜色很美/(83)/大小合适/(52)/款式很好/(51)/料子不错/(41)/没有色差/(40),
1,2019/10/5,0.0,羊毛家,3金冠,vipwangting,10000元,4.8,4.8,4.8,169.00,159.00,99.00,89.00,59.00,淘金币可抵1.18元,1.0,均码,34218.0,蚂蚁花呗/信用卡支付/集分宝,0.0,24144.0,72.0,1.0,3545.0,214.0,30天内已售出8500+件，其中交易成功6000+件,567.0,50.0,3543.0,0.0,2.0,很舒服/(636)/整体不错/(468)/颜色很好/(377)/版型漂亮/(315)/实惠/(237)/穿着美/(168)/面料好/(160)/没有色差/(108)/如实描述/(43)/性价比很高/(42),
1,2019/10/5,0.0,女主角时尚坊,5蓝冠,女主角时尚坊,8889元,4.7,4.8,4.8,69.90,49.90,49.90,49.90,19.90,淘金币可抵0.39元//100元店铺优惠券/满3999元可用/领取,1.0,S/M/L/XL,95466.0,蚂蚁花呗/集分宝,1.0,13071.0,22.0,1.0,3727.0,223.0,30天内已售出1万+件，其中交易成功7000+件,597.0,56.0,3724.0,3.0,0.0,整体不错/(459)/衣服很舒服/(450)/穿着效果好/(134)/颜色挺正/(107)/布料好/(103)/板型很好/(98)/码子很准/(59)/很厚实/(53)/上装不错/(41)/做工很赞/(27),
1,2019/10/5,1.0,丫头家潮流女装批发,4金冠,丫头日系韩版女装,108946.83元,4.7,4.7,4.7,76.58,49.88,45.88,0,29.88,20元店铺优惠券/满599元可用/领取//10元店铺优惠券/满298元可用/领取,1.0,均码,548273.0,蚂蚁花呗/信用卡支付/集分宝,0.0,155.0,68.0,1.0,21879.0,163.0,30天内已售出8500+件，其中交易成功6000+件,933.0,250.0,21766.0,53.0,60.0,很舒服/(1086)/质量蛮好/(890)/穿着美/(606)/外形好看/(438)/颜色很好/(263)/面料好/(216)/码数很准/(134)/做工很好/(53)/颜色不喜欢/(52)/有点薄/(39),
1,2019/10/5,0.0,怡帆护士毛衣工厂,4蓝钻,怡帆标志店,2000元,4.9,4.9,4.9,49.00,59.00,0,59.00,35.00-69.00,5元店铺优惠券/满30元可用/领取,1.0,S/M/L/XL/2XL/3XL/4XL/均码90-125斤,634609.0,蚂蚁花呗/信用卡支付/集分宝,1.0,196.0,27.0,1.0,4029.0,397.0,30天内已售出7500+件，其中交易成功5500+件,38.0,12.0,4026.0,0.0,3.0,衣服不错/(292)/很舒服/(141)/穿着美/(63)/衣服很合身/(57)/版型好看/(54)/颜色很好/(50)/面料好/(48)/做工很好/(45)/款式好/(29)/没有色差/(18),
1,2019/10/5,0.0,时尚的小衣橱,3蓝冠,年轻妈妈衣阁,2000元,4.7,4.7,4.7,29.90,39.90,59.00,39.90,49.90,淘金币可抵0.99元,1.0,M建议80-100斤/L建议100-115斤/XL建议115-130斤/XXL建议130-150斤,9459.0,蚂蚁花呗/信用卡支付/集分宝,1.0,18670.0,25.0,0.0,579.0,236.0,30天内已售出7500+件，其中交易成功5500+件,92.0,36.0,578.0,1.0,0.0,衣衣很舒服/(62)/宝贝很赞/(43)/划算/(34)/版型好看/(30)/色彩很好/(25)/穿上好看/(20)/手感也不错/(14)/厚实/(12)/和描述一致/(5)/服务不错/(5),
1,2019/10/5,0.0,专注女装订制3号,2蓝冠,tb_0321827,2018元,4.7,4.7,4.7,49.80,38.80,49.00,39.80,33.60,淘金币可抵0.67元//20元店铺优惠券/满239元可用/领取//10元店铺优惠券/满138元可用/领取,1.0,S/M/2XL/XL/L,49574.0,蚂蚁花呗/集分宝,1.0,16460.0,40.0,1.0,4073.0,224.0,30天内已售出6500+件，其中交易成功5500+件,474.0,130.0,4049.0,18.0,6.0,质量蛮好/(284)/衣服很舒服/(277)/式样好/(121)/穿着效果好/(87)/颜色挺正/(69)/尺码很好/(63)/布料好/(49)/很厚实/(37)/手感也很好/(37)/做工很赞/(15),
1,2019/10/5,0.0,聚划算返场2小时,2蓝冠,伊美雪尔,1500元,4.7,4.8,4.8,59.90,99.00,149.00,59.00,79.90,淘金币可抵1.59元,1.0,S/M/L/XL,73755.0,蚂蚁花呗/信用卡支付/集分宝,0.0,7045.0,25.0,0.0,437.0,175.0,30天内已售出7000+件，其中交易成功5500+件,55.0,19.0,430.0,5.0,2.0,衣服很舒服/(71)/质量蛮好/(51)/穿着效果好/(29)/很便宜/(23)/尺码很准/(20)/布料好/(18)/版式好/(14)/款式很潮/(12)/颜色挺正/(11)/做工很赞/(7),
1,2019/10/5,0.0,鄂尔多斯市羊绒制品,1蓝冠,鄂尔多斯市羊绒制品公司,2000元,4.7,4.8,4.8,44.90,39.00,59.90,60.00,44.90,淘金币可抵0.89元,1.0,S【女圆领】/M【女圆领】/L【女圆领】/XL【女圆领】/XXL【女圆领】/S【女V领】/M【女V领】/L【女V领】/XL【女V领】/XXL【女V领】,25625.0,蚂蚁花呗/集分宝,0.0,22278.0,16.0,0.0,2233.0,262.0,30天内已售出8000+件，其中交易成功6000+件,204.0,37.0,2233.0,0.0,0.0,宝贝很赞/(228)/很舒适/(157)/版型好看/(78)/穿着漂亮/(55)/颜色很美/(49)/衣服很合身/(42)/料子不错/(37)/手感不错/(28)/做工不错/(23)/款式好看/(22),
1,2019/10/5,0.0,MG小象欧美街拍时尚女装,5金冠,毛菇小象,5000元,4.7,4.8,4.8,188.00,159.00,149.00,149.00,118.00,30元店铺优惠券/满358元可用/领取//20元店铺优惠券/满258元可用/领取//满3件/享部分地区包邮,1.0,XS/S/M/L,26035.0,蚂蚁花呗/信用卡支付/集分宝,0.0,75933.0,42.0,1.0,1359.0,148.0,30天内已售出6500+件，其中交易成功5000+件,188.0,22.0,1342.0,9.0,8.0,外形好看/(138)/衣服很舒服/(129)/衣服不错/(100)/穿着效果好/(63)/款式好/(35)/很便宜/(28)/布料好/(20)/码数很准/(20)/很厚实/(18)/减龄百搭/(17),
1,2019/10/5,0.0,鄂尔多斯正品羊绒衫貂绒衫厂家直销,1蓝冠,绒之绒羊绒精品店,1000元,4.8,4.9,4.9,88.00,39.00,0,39.00,89.00,0,1.0,S红心/M红心/L红心/XL红心/XXL红心/3XL红心/S黑心/M黑心/L黑心/XL黑心/2XL黑心/3XL黑心/S金心/M金心/L金心/XL金心/2XL金心/3XL金心/白心或者双心留言,80343.0,蚂蚁花呗/信用卡支付/集分宝,0.0,69346.0,9.0,0.0,1065.0,372.0,30天内已售出7000+件，其中交易成功5000+件,274.0,246.0,1062.0,2.0,1.0,整体不错/(197)/很舒服/(165)/版型好看/(61)/穿着美/(45)/面料好/(37)/衣服很合身/(27)/颜色很好/(27)/手感都很好/(25)/做工很好/(24)/衣服厚实/(18),
1,2019/10/5,0.0,小淑服饰668,5蓝钻,小淑服饰668,1001元,4.7,4.8,4.8,39.90,45.00,39.90,49.90,39.00,0,1.0,S【建议80-90斤】/M【建议90--110斤】/L【建议115-125斤】/XL【建议125-135斤】/XXL【建议135-145斤】,143087.0,蚂蚁花呗/信用卡支付/集分宝,0.0,19776.0,32.0,0.0,2446.0,248.0,30天内已售出6000+件，其中交易成功4900件,478.0,364.0,2414.0,15.0,17.0,衣服不错/(406)/很舒服/(313)/外形好看/(143)/穿着美/(104)/颜色很好/(96)/衣服厚实/(90)/没有色差/(55)/面料好/(47)/码数很准/(46)/做工很好/(15),
1,2019/10/5,0.0,卡卡帝馆,3蓝冠,chengtb4655,2000元,4.7,4.8,4.8,65.00,69.00,65.00,65.00,65.00,淘金币可抵1.30元//10元店铺优惠券/满130元可用/领取//3元店铺优惠券/满65元可用/领取,1.0,S/M/L/XL/2XL,4799.0,蚂蚁花呗/信用卡支付/集分宝,1.0,68965.0,15.0,0.0,15516.0,235.0,30天内已售出7000+件，其中交易成功5000+件,384.0,306.0,15507.0,5.0,4.0,衣服很舒服/(389)/整体不错/(336)/穿着效果好/(178)/颜色挺正/(138)/大小合适/(107)/版型漂亮/(107)/布料好/(69)/款式漂亮/(39)/手感较好/(32)/做工很赞/(25),
1,2019/10/5,0.0,羊毛家,3金冠,vipwangting,10000元,4.8,4.8,4.8,169.00,169.00,159.00,109.00,79.00,淘金币可抵1.58元,1.0,均码,15537.0,蚂蚁花呗/信用卡支付/集分宝,0.0,24884.0,60.0,1.0,2309.0,212.0,30天内已售出7500+件，其中交易成功4645件,280.0,28.0,2308.0,0.0,1.0,质量不错/(417)/衣衣很舒服/(267)/厚实/(195)/版型好/(152)/色彩很好/(126)/穿上好看/(116)/料子好/(101)/性价比高/(34)/尺寸很准/(25)/做工好/(14),
1,2019/10/5,0.0,柜里的女装世界,5蓝冠,章章章女士,5000元,4.7,4.7,4.7,49.00,39.00,39.00,39.00,19.80,淘金币可抵0.39元,1.0,均码,37653.0,蚂蚁花呗/信用卡支付/集分宝,1.0,11330.0,21.0,0.0,1600.0,141.0,30天内已售出7000+件，其中交易成功5000+件,382.0,428.0,1599.0,1.0,0.0,衣衣很舒服/(250)/质量好/(189)/穿上好看/(110)/便宜/(102)/版式好/(89)/料子好/(37)/色彩很好/(32)/物流快/(29)/款式蛮好/(27)/百搭好看/(20),
1,2019/10/5,0.0,下架学姐XJXJ,5蓝冠,可可家cocoga,1000000元,4.8,4.8,4.8,41.98,39.98,38.98,31.98,23.98,淘金币可抵0.47元,1.0,均码,484905.0,蚂蚁花呗/信用卡支付/集分宝,0.0,17528.0,50.0,0.0,1826.0,170.0,30天内已售出1万+件，其中交易成功5000+件,713.0,42.0,1825.0,0.0,1.0,衣服不错/(467)/衣服很舒服/(333)/版式好/(175)/颜色挺正/(156)/穿着效果好/(125)/布料好/(71)/没有色差/(62)/很厚实/(36)/尺码很准/(28)/做工很赞/(15),
1,2019/10/5,0.0,高端羊绒工厂直销店,3蓝冠,三羊坊,2000元,4.8,4.8,4.8,69.00,59.00,46.00,56.00,29.00,淘金币可抵0.58元//10元店铺优惠券/满120元可用/领取//5元店铺优惠券/满50元可用/领取,1.0,S/80-100斤/M/100-110斤/L/110-120斤/XL/120-130斤/2XL/130-145斤/3XL/145-160斤,23234.0,蚂蚁花呗/信用卡支付/集分宝,0.0,6806.0,24.0,1.0,2475.0,265.0,30天内已售出7500+件，其中交易成功5000+件,237.0,176.0,2475.0,0.0,0.0,衣服很舒服/(263)/质量蛮好/(139)/颜色挺正/(62)/衣服很合身/(47)/手感不错/(40)/穿着效果好/(39)/版型好看/(32)/布料好/(30)/没有色差/(18)/做工很赞/(15),
